date,iso2,keyword_01,keyword_02,value_01,value_02,version
01-01-2022,ZA,wind,Washing machine,3,97,00:03.8
01-01-2022,US,wind,Washing machine,3,97,00:03.8
01-01-2022,TR,wind,Washing machine,1,99,00:03.8
01-01-2022,TH,wind,Washing machine,3,97,00:03.8
01-01-2022,SG,wind,Washing machine,6,94,00:03.8
01-01-2022,SE,wind,Washing machine,25,75,00:03.8
01-01-2022,PT,wind,Washing machine,9,91,00:03.8
01-01-2022,PL,wind,Washing machine,1,99,00:03.8
01-01-2022,PE,wind,Washing machine,5,95,00:03.8
01-01-2022,NO,wind,Washing machine,13,87,00:03.8
01-01-2022,NL,wind,Washing machine,3,97,00:03.8
01-01-2022,NG,wind,Washing machine,5,95,00:03.8
01-01-2022,MX,wind,Washing machine,6,94,00:03.8
01-01-2022,MA,wind,Washing machine,14,86,00:03.8
01-01-2022,KR,wind,Washing machine,21,79,00:03.8
01-01-2022,JP,wind,Washing machine,6,94,00:03.8
01-01-2022,IT,wind,Washing machine,7,93,00:03.8
01-01-2022,IN,wind,Washing machine,6,94,00:03.8
01-01-2022,IL,wind,Washing machine,1,99,00:03.8
01-01-2022,IE,wind,Washing machine,9,91,00:03.8
01-01-2022,ID,wind,Washing machine,3,97,00:03.8
01-01-2022,HU,wind,Washing machine,2,98,00:03.8
01-01-2022,GR,wind,Washing machine,2,98,00:03.8
01-01-2022,GB,wind,Washing machine,5,95,00:03.8
01-01-2022,FR,wind,Washing machine,8,92,00:03.8
01-01-2022,FI,wind,Washing machine,18,82,00:03.8
01-01-2022,ES,wind,Washing machine,7,93,00:03.8
01-01-2022,DK,wind,Washing machine,9,91,00:03.8
01-01-2022,DE,wind,Washing machine,6,94,00:03.8
01-01-2022,CZ,wind,Washing machine,3,97,00:03.8
01-01-2022,CO,wind,Washing machine,3,97,00:03.8
01-01-2022,CL,wind,Washing machine,5,95,00:03.8
01-01-2022,CH,wind,Washing machine,7,93,00:03.8
01-01-2022,CA,wind,Washing machine,4,96,00:03.8
01-01-2022,BR,wind,Washing machine,3,97,00:03.8
01-01-2022,BE,wind,Washing machine,4,96,00:03.8
01-01-2022,AU,wind,Washing machine,2,98,00:03.8
01-01-2022,AT,wind,Washing machine,5,95,00:03.8
01-01-2022,AR,wind,Washing machine,3,97,00:03.8
01-01-2022,ZA,wind,Ventilation,59,41,00:03.8
01-01-2022,US,wind,Ventilation,50,50,00:03.8
01-01-2022,TR,wind,Ventilation,16,84,00:03.8
01-01-2022,TH,wind,Ventilation,59,41,00:03.8
01-01-2022,SG,wind,Ventilation,56,44,00:03.8
01-01-2022,SE,wind,Ventilation,53,47,00:03.8
01-01-2022,PT,wind,Ventilation,51,49,00:03.8
01-01-2022,PL,wind,Ventilation,7,93,00:03.8
01-01-2022,PE,wind,Ventilation,36,64,00:03.8
01-01-2022,NO,wind,Ventilation,33,67,00:03.8
01-01-2022,NL,wind,Ventilation,19,81,00:03.8
01-01-2022,NG,wind,Ventilation,37,63,00:03.8
01-01-2022,MX,wind,Ventilation,71,29,00:03.8
01-01-2022,MA,wind,Ventilation,68,32,00:03.8
01-01-2022,KR,wind,Ventilation,59,41,00:03.8
01-01-2022,JP,wind,Ventilation,29,71,00:03.8
01-01-2022,IT,wind,Ventilation,60,40,00:03.8
01-01-2022,IN,wind,Ventilation,68,32,00:03.8
01-01-2022,IL,wind,Ventilation,38,62,00:03.8
01-01-2022,IE,wind,Ventilation,54,46,00:03.8
01-01-2022,ID,wind,Ventilation,43,57,00:03.8
01-01-2022,HU,wind,Ventilation,17,83,00:03.8
01-01-2022,GR,wind,Ventilation,23,77,00:03.8
01-01-2022,GB,wind,Ventilation,50,50,00:03.8
01-01-2022,FR,wind,Ventilation,37,63,00:03.8
01-01-2022,FI,wind,Ventilation,48,52,00:03.8
01-01-2022,ES,wind,Ventilation,48,52,00:03.8
01-01-2022,EG,wind,Ventilation,41,59,00:03.8
01-01-2022,DK,wind,Ventilation,31,69,00:03.8
01-01-2022,DE,wind,Ventilation,85,15,00:03.8
01-01-2022,CZ,wind,Ventilation,36,64,00:03.8
01-01-2022,CO,wind,Ventilation,41,59,00:03.8
01-01-2022,CN,wind,Ventilation,85,15,00:03.8
01-01-2022,CL,wind,Ventilation,56,44,00:03.8
01-01-2022,CH,wind,Ventilation,60,40,00:03.8
01-01-2022,CA,wind,Ventilation,36,64,00:03.8
01-01-2022,BR,wind,Ventilation,55,45,00:03.8
01-01-2022,BE,wind,Ventilation,17,83,00:03.8
01-01-2022,AU,wind,Ventilation,28,72,00:03.8
01-01-2022,AR,wind,Ventilation,46,54,00:03.8
01-01-2022,ZA,wind,solar,10,90,00:03.8
01-01-2022,US,wind,solar,13,87,00:03.8
01-01-2022,TR,wind,solar,45,55,00:03.8
01-01-2022,TH,wind,solar,38,62,00:03.8
01-01-2022,SG,wind,solar,28,72,00:03.8
01-01-2022,SE,wind,solar,84,16,00:03.8
01-01-2022,PT,wind,solar,61,39,00:03.8
01-01-2022,PL,wind,solar,73,27,00:03.8
01-01-2022,PE,wind,solar,50,50,00:03.8
01-01-2022,NO,wind,solar,81,19,00:03.8
01-01-2022,NL,wind,solar,71,29,00:03.8
01-01-2022,NG,wind,solar,6,94,00:03.8
01-01-2022,MX,wind,solar,66,34,00:03.8
01-01-2022,KR,wind,solar,49,51,00:03.8
01-01-2022,JP,wind,solar,90,10,00:03.8
01-01-2022,IT,wind,solar,86,14,00:03.8
01-01-2022,IN,wind,solar,18,82,00:03.8
01-01-2022,IE,wind,solar,30,70,00:03.8
01-01-2022,ID,wind,solar,25,75,00:03.8
01-01-2022,GB,wind,solar,25,75,00:03.8
01-01-2022,FR,wind,solar,91,9,00:03.8
01-01-2022,FI,wind,solar,85,15,00:03.8
01-01-2022,ES,wind,solar,67,33,00:03.8
01-01-2022,EG,wind,solar,19,81,00:03.8
01-01-2022,DE,wind,solar,71,29,00:03.8
01-01-2022,CO,wind,solar,50,50,00:03.8
01-01-2022,CN,wind,solar,36,64,00:03.8
01-01-2022,CL,wind,solar,68,32,00:03.8
01-01-2022,CH,wind,solar,50,50,00:03.8
01-01-2022,CA,wind,solar,22,78,00:03.8
01-01-2022,BR,wind,solar,77,23,00:03.8
01-01-2022,AU,wind,solar,3,97,00:03.8
01-01-2022,AR,wind,solar,59,41,00:03.8
01-01-2022,US,wind,Smart meter,89,11,00:03.8
01-01-2022,TR,wind,Smart meter,82,18,00:03.8
01-01-2022,TH,wind,Smart meter,95,5,00:03.8
01-01-2022,SG,wind,Smart meter,94,6,00:03.8
01-01-2022,SE,wind,Smart meter,98,2,00:03.8
01-01-2022,PT,wind,Smart meter,96,4,00:03.8
01-01-2022,PL,wind,Smart meter,90,10,00:03.8
01-01-2022,NL,wind,Smart meter,39,61,00:03.8
01-01-2022,KR,wind,Smart meter,95,5,00:03.8
01-01-2022,JP,wind,Smart meter,88,12,00:03.8
01-01-2022,IT,wind,Smart meter,94,6,00:03.8
01-01-2022,IN,wind,Smart meter,80,20,00:03.8
01-01-2022,IE,wind,Smart meter,57,43,00:03.8
01-01-2022,ID,wind,Smart meter,93,7,00:03.8
01-01-2022,GB,wind,Smart meter,29,71,00:03.8
01-01-2022,FR,wind,Smart meter,95,5,00:03.8
01-01-2022,ES,wind,Smart meter,98,2,00:03.8
01-01-2022,DE,wind,Smart meter,81,19,00:03.8
01-01-2022,CH,wind,Smart meter,85,15,00:03.8
01-01-2022,CA,wind,Smart meter,87,13,00:03.8
01-01-2022,BR,wind,Smart meter,99,1,00:03.8
01-01-2022,BE,wind,Smart meter,21,79,00:03.8
01-01-2022,AU,wind,Smart meter,63,37,00:03.8
01-01-2022,AT,wind,Smart meter,38,62,00:03.8
01-01-2022,ZA,wind,Refrigerator,1,99,00:03.8
01-01-2022,US,wind,Refrigerator,2,98,00:03.8
01-01-2022,TR,wind,Refrigerator,1,99,00:03.8
01-01-2022,TH,wind,Refrigerator,3,97,00:03.8
01-01-2022,SG,wind,Refrigerator,5,95,00:03.8
01-01-2022,SE,wind,Refrigerator,23,77,00:03.8
01-01-2022,PT,wind,Refrigerator,8,92,00:03.8
01-01-2022,PL,wind,Refrigerator,1,99,00:03.8
01-01-2022,PE,wind,Refrigerator,4,96,00:03.8
01-01-2022,NO,wind,Refrigerator,10,90,00:03.8
01-01-2022,NL,wind,Refrigerator,4,96,00:03.8
01-01-2022,NG,wind,Refrigerator,2,98,00:03.8
01-01-2022,MX,wind,Refrigerator,8,92,00:03.8
01-01-2022,KR,wind,Refrigerator,13,87,00:03.8
01-01-2022,JP,wind,Refrigerator,7,93,00:03.8
01-01-2022,IT,wind,Refrigerator,8,92,00:03.8
01-01-2022,IN,wind,Refrigerator,7,93,00:03.8
01-01-2022,IL,wind,Refrigerator,1,99,00:03.8
01-01-2022,IE,wind,Refrigerator,6,94,00:03.8
01-01-2022,ID,wind,Refrigerator,2,98,00:03.8
01-01-2022,HU,wind,Refrigerator,2,98,00:03.8
01-01-2022,GR,wind,Refrigerator,2,98,00:03.8
01-01-2022,GB,wind,Refrigerator,4,96,00:03.8
