ISO3,event date,Renewable_gen_GW,Demand_GW,share of res in demand
AUS,16-03-2018,3.196929726,21.97884833,0.145454834
AUT,12-07-2019,5.848479167,6.887510417,0.849142696
ARG,25-11-2021,5.2625,17.5620625,0.299651593
AUS,20-06-2016,4.421679908,23.12101479,0.191240737
AUS,27-07-2018,3.739483327,22.66413292,0.164995649
AUS,18-08-2021,4.919528309,26.02687767,0.18901723
ARG,24-11-2021,5.745872381,18.08958333,0.317634313
AUT,24-12-2021,2.4840625,6.986875,0.355532695
AUT,01-10-2020,6.132979167,7.293364583,0.840898476
AUT,15-01-2021,5.074875,8.555364583,0.593180448
AUT,22-09-2015,3.71959375,6.633010417,0.560770075
AUT,21-07-2015,3.75684375,7.152614583,0.525240624
AUT,25-01-2015,3.809447917,6.295666667,0.605090472
AUT,04-04-2020,3.920229167,5.773791667,0.678969626
AUT,10-12-2019,5.3698125,9.005052083,0.596311099
AUT,20-07-2020,6.4271875,6.760645833,0.950676556
AUT,14-02-2019,5.191552083,8.43234375,0.615671305
AUS,13-11-2017,2.652003572,21.3488525,0.124222301
AUS,09-12-2018,3.390231789,19.86802792,0.170637559
AUS,20-03-2015,2.305711223,22.63049042,0.101885164
AUT,01-10-2016,3.7085,5.999916667,0.618091918
AUT,21-05-2018,4.65634375,5.51215625,0.844740885
AUS,28-11-2015,1.555666206,20.36983,0.076371094
AUS,06-06-2017,3.336090012,23.74315083,0.140507468
AUS,01-09-2020,5.865654034,24.90706979,0.23550157
AUT,03-11-2020,5.262197917,7.55221875,0.696775092
AUT,07-02-2020,5.524145833,8.33515625,0.662752523
AUT,10-11-2018,3.4371875,6.635729167,0.517981885
ARG,26-02-2021,7.015,18.93873958,0.370404797
AUS,10-07-2020,4.123016972,27.79052604,0.148360523
AUS,04-03-2017,1.791967949,21.38748896,0.083785804
AUT,17-05-2017,5.722135417,6.927010417,0.826061327
AUS,01-03-2016,2.551506343,24.14997896,0.105652529
AUT,06-05-2016,4.809135417,6.29503125,0.763957354
AUT,17-09-2016,4.85396875,6.121229167,0.792972885
ARG,15-03-2020,4.779,13.74945833,0.347577329
AUT,31-10-2017,5.83046875,7.835385417,0.744120224
AUS,11-06-2021,4.874717471,28.56697771,0.170641694
AUS,20-05-2018,3.735565839,20.13837771,0.185494874
AUT,22-06-2020,9.2130625,6.736989583,1.367534028
AUT,10-03-2020,4.70828125,8.189145833,0.574941678
AUT,22-07-2021,6.908291667,6.932083333,0.996567891
ARG,31-01-2021,6.356,12.74664236,0.498641118
AUS,29-12-2015,2.416231195,19.79970938,0.12203367
AUS,12-06-2021,4.682563573,25.73213981,0.181973346
ARG,30-10-2021,7.570314394,17.76002083,0.426255941
AUS,16-07-2016,3.166183984,22.54644208,0.140429429
AUT,05-07-2016,6.718947917,6.962104167,0.965074316
AUS,07-05-2018,3.603174677,20.65696896,0.174429012
AUT,31-10-2015,2.6165625,6.097322917,0.429133004
AUT,27-07-2019,3.9113125,5.977520833,0.654336908
AUT,23-05-2019,8.096208333,7.30940625,1.107642407
AUT,30-06-2019,6.692552083,5.64690625,1.185171453
AUT,31-01-2018,4.5735625,8.373229167,0.546212508
ARG,02-03-2021,6.093,19.25517708,0.316434379
AUS,10-08-2017,4.318304711,21.89569896,0.197221597
AUT,25-05-2017,5.781645833,5.622541667,1.028297552
AUS,04-08-2021,6.890721004,26.72408533,0.257846842
ARG,04-09-2021,6.256176263,15.05145833,0.415652499
AUS,12-01-2021,4.827853395,25.26609694,0.1910803
AUT,17-12-2017,4.279052083,7.270833333,0.588522923
AUS,02-03-2018,2.04256671,22.67912604,0.090063731
AUS,15-10-2018,4.736268526,20.29769917,0.233340168
AUS,31-08-2020,4.655204134,24.53546521,0.189733681
AUS,02-04-2021,4.292205643,22.48309265,0.190908151
ARG,30-03-2021,5.531,14.73084462,0.375470663
AUT,15-12-2014,0.52996875,15.72630435,0.03369951
AUT,18-11-2019,6.0578125,7.945822917,0.762389568
AUT,12-07-2017,5.227989583,7.246989583,0.721401559
AUS,24-03-2020,3.72584884,25.54938354,0.145829305
AUS,03-03-2017,2.251039481,23.09520958,0.097467809
AUT,09-12-2015,3.042114583,8.123864583,0.374466432
ARG,24-11-2020,7.467,18.22570833,0.409696011
AUS,05-08-2020,5.11390674,27.3386325,0.187057884
AUS,09-11-2018,3.026327659,20.20664042,0.149768967
AUT,17-02-2016,4.56621875,8.4498125,0.540392908
AUT,18-05-2020,5.49765625,6.421302083,0.856159106
ARG,02-10-2020,7.626,15.166,0.502835289
ARG,09-08-2021,5.5473375,18.62452083,0.297851287
AUT,23-05-2018,6.470333333,7.144927083,0.905584236
AUT,14-05-2020,6.683760417,6.7685,0.987480301
AUT,10-04-2016,4.906125,5.693729167,0.861671649
AUT,12-04-2016,4.663885417,7.288895833,0.639861719
AUT,20-02-2019,4.930729167,8.296916667,0.594284523
AUS,16-02-2019,2.450689066,20.55879625,0.119203918
AUS,22-08-2020,6.327069494,25.20605875,0.251013836
AUS,12-08-2020,5.032428102,26.6759825,0.18865015
AUS,22-05-2016,4.027493934,18.98164313,0.212178361
