country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
AFG,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
AGO,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
ALB,energy_and_non_digital,2,0.0,0.0,0.0,0.0,,14.693150684931506,,,,20.016438356164382
ARE,energy_and_non_digital,95,2.1052631578947367,2.1052631578947367,5.263157894736842,6.315789473684211,,14.372602739726027,2.0164383561643837,19.037181996086105,13.930958904109588,4.5819178082191785
ARE,energy_and_digital,38,0.0,0.0,0.0,0.0,,3.953424657534246,,,,0.393607305936073
ARG,energy_and_non_digital,30,0.0,3.3333333333333335,6.666666666666667,20.0,,,13.49041095890411,14.223287671232876,13.699804305283758,
ARG,energy_and_digital,5,0.0,0.0,0.0,0.0,0.947945205479452,0.5013698630136987,,,,1.0863013698630137
ARM,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,12.095890410958905,,,,
AUS,energy_and_non_digital,546,9.89010989010989,12.27106227106227,17.216117216117215,24.175824175824175,7.3237858032378576,11.38412204234122,6.3395599833956,15.207921381774865,9.063375190258752,3.7028310502283106
AUS,energy_and_digital,167,4.191616766467066,7.18562874251497,9.580838323353294,11.976047904191617,7.94849315068493,7.666536203522505,3.7860273972602743,13.730759651307597,8.823972602739726,2.776176295413937
AUT,energy_and_non_digital,56,1.7857142857142856,1.7857142857142856,3.571428571428571,10.714285714285714,5.2465753424657535,8.618630136986301,16.13607305936073,12.652054794520549,13.958561643835617,2.810958904109589
AUT,energy_and_digital,37,0.0,0.0,0.0,0.0,6.808219178082192,12.128082191780821,,20.326027397260273,20.326027397260273,2.9359325605900946
AZE,energy_and_non_digital,6,0.0,0.0,16.666666666666664,16.666666666666664,,,,7.50958904109589,7.50958904109589,
AZE,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,0.4136986301369863
BAH,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,0.12602739726027398
BEL,energy_and_non_digital,173,0.0,0.5780346820809248,2.8901734104046244,4.624277456647398,6.38082191780822,10.007305936073058,6.2164383561643834,16.205479452054796,15.297384806973849,2.859178082191781
BEL,energy_and_digital,81,0.0,0.0,4.938271604938271,6.172839506172839,6.6128767123287675,2.623972602739726,,11.259360730593608,11.259360730593608,1.4761355443403028
BEN,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
BFA,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
BGD,energy_and_non_digital,19,0.0,0.0,0.0,0.0,,,,,,
BGD,energy_and_digital,8,0.0,0.0,0.0,0.0,5.512328767123288,,,,,3.7424657534246575
BGR,energy_and_non_digital,12,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,2.1041095890410957,2.915068493150685,,0.13972602739726028,0.13972602739726028,0.8986301369863013
BGR,energy_and_digital,7,0.0,0.0,0.0,0.0,,8.419178082191781,,,,
BIH,energy_and_non_digital,7,0.0,0.0,0.0,0.0,,,,,,
BIH,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,
BLR,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
BLR,energy_and_digital,2,0.0,0.0,0.0,0.0,,5.413698630136986,,,,1.0
BLZ,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
BMU,energy_and_non_digital,9,11.11111111111111,11.11111111111111,33.33333333333333,44.44444444444444,2.2794520547945205,,7.895890410958903,7.786301369863014,7.868493150684932,5.813698630136987
BMU,energy_and_digital,1,100.0,100.0,100.0,100.0,,,0.6,,0.6,
BOL,energy_and_non_digital,2,0.0,0.0,0.0,0.0,,,,,,0.6657534246575343
BOL,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
BRA,energy_and_non_digital,190,3.1578947368421053,3.684210526315789,7.894736842105263,13.157894736842104,20.572602739726026,7.856438356164384,9.339081385979048,10.262764632627647,9.736986301369862,3.2837328767123286
BRA,energy_and_digital,110,0.9090909090909091,1.8181818181818181,2.727272727272727,2.727272727272727,8.465753424657533,10.307945205479452,21.37671232876712,13.141552511415526,11.635616438356163,4.401933924254633
BRB,energy_and_non_digital,3,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,,,1.1561643835616437,,1.1561643835616437,
BRB,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
BWA,energy_and_non_digital,2,0.0,0.0,0.0,0.0,,,,,,
CAN,energy_and_non_digital,1797,6.51085141903172,8.736783528102393,14.635503617139678,20.20033388981636,7.146499238964992,10.279292599840545,7.667415601536081,13.26145703611457,9.651263006691659,4.5437861033173785
CAN,energy_and_digital,518,5.212355212355212,5.984555984555985,8.301158301158301,13.127413127413126,5.315542676501581,7.531787846856339,6.846510110893673,13.969406392694063,9.496555772994128,3.1305675146771037
CHE,energy_and_non_digital,516,1.3565891472868217,1.3565891472868217,2.3255813953488373,3.10077519379845,5.209041095890411,4.861729452054795,8.188127853881278,18.308746048472077,15.316841257050767,2.147123287671233
CHE,energy_and_digital,160,0.0,0.625,1.875,3.125,6.027788649706458,3.125662100456621,9.60821917808219,8.142465753424657,8.728767123287671,2.2873424657534245
CHL,energy_and_non_digital,33,3.0303030303030303,3.0303030303030303,9.090909090909092,12.121212121212121,4.36986301369863,,8.830136986301369,10.526027397260274,10.186849315068493,4.746301369863014
CHL,energy_and_digital,20,0.0,0.0,0.0,0.0,,1.1643835616438356,,,,1.3983561643835618
CHN,energy_and_non_digital,1013,7.897334649555774,12.931885488647582,27.541954590325762,44.32379072063179,7.043835616438356,11.076231675078105,10.172357391126559,10.940436326737697,10.180755095222185,3.986427173609169
CHN,energy_and_digital,378,1.3227513227513228,4.497354497354497,8.994708994708994,16.402116402116402,6.793835616438356,12.69367755532139,11.516909246575343,8.778864970645794,11.162160015882469,4.05317741396592
CIV,energy_and_non_digital,7,0.0,0.0,0.0,28.57142857142857,,,19.627397260273973,23.312328767123287,22.084018264840182,
CMR,energy_and_non_digital,2,0.0,0.0,0.0,50.0,,,,13.736986301369862,13.736986301369862,3.26027397260274
COD,energy_and_non_digital,2,0.0,0.0,0.0,0.0,6.189041095890411,,,,,4.197260273972603
COL,energy_and_non_digital,28,3.571428571428571,10.714285714285714,14.285714285714285,28.57142857142857,,9.126027397260273,4.507762557077625,14.808219178082192,11.374733637747337,3.3819178082191783
COL,energy_and_digital,16,0.0,0.0,0.0,6.25,,6.534246575342466,15.243835616438357,,15.243835616438357,0.8712328767123287
CRI,energy_and_non_digital,6,0.0,0.0,16.666666666666664,16.666666666666664,,,,8.005479452054795,8.005479452054795,
CRI,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
CUB,energy_and_non_digital,1,0.0,0.0,0.0,0.0,14.997260273972604,,,,,
CYM,energy_and_non_digital,6,16.666666666666664,16.666666666666664,33.33333333333333,33.33333333333333,,0.947945205479452,1.0246575342465754,9.89041095890411,5.457534246575342,
CYM,energy_and_digital,1,0.0,100.0,100.0,100.0,,,,4.493150684931507,4.493150684931507,
CYP,energy_and_non_digital,18,0.0,11.11111111111111,27.77777777777778,44.44444444444444,,12.63013698630137,8.815753424657535,9.504109589041096,8.769520547945206,
CYP,energy_and_digital,6,0.0,16.666666666666664,16.666666666666664,16.666666666666664,,,,3.5945205479452054,3.5945205479452054,0.43698630136986305
CZE,energy_and_non_digital,224,0.0,0.0,0.0,0.4464285714285714,,1.915068493150685,21.024657534246575,20.4027397260274,20.610045662100458,
CZE,energy_and_digital,44,0.0,0.0,0.0,0.0,,,,,,0.09315068493150686
DEU,energy_and_non_digital,1055,1.1374407582938388,1.9905213270142181,4.265402843601896,6.729857819905213,6.869812278031456,7.2164383561643834,9.888584474885844,11.740410958904109,11.339928970065955,2.8980022831050225
