country_ISO3,technology_field,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,number_of_companies
AFG,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
AGO,Fossil Fuels,0.0,0.0,0.0,0.0,0.5
AGO,Other Energy,0.0,0.0,0.0,0.0,0.5
ALB,Energy Efficiency,0.0,0.0,0.0,0.0,1.0
ALB,Grid,0.0,0.0,0.0,0.0,1.0
ARE,Energy Efficiency,2.2123893805309733,2.2123893805309733,2.2123893805309733,2.2123893805309733,22.6
ARE,Fossil Fuels,1.1656952539550374,1.1656952539550374,5.828476269775186,5.828476269775186,42.892857142857146
ARE,Grid,0.0,0.0,0.0,0.0,4.809523809523809
ARE,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.1428571428571428
ARE,Nuclear,0.0,0.0,0.0,0.0,0.3333333333333333
ARE,Other Energy,2.5612879619465785,2.5612879619465785,5.122575923893157,5.122575923893157,39.042857142857144
ARE,Other Renewables,0.0,0.0,0.0,8.391608391608392,11.916666666666666
ARE,Solar,0.0,0.0,0.0,0.0,8.709523809523809
ARE,Storage (not electromobility),0.0,0.0,0.0,0.0,1.8761904761904762
ARE,Wind,0.0,0.0,0.0,0.0,0.6761904761904761
ARG,Energy Efficiency,0.0,0.0,0.0,0.0,6.866666666666666
ARG,Fossil Fuels,0.0,0.0,6.0,30.0,8.333333333333334
ARG,Grid,0.0,21.897810218978105,21.897810218978105,32.846715328467155,4.566666666666666
ARG,Other Energy,0.0,0.0,6.3559322033898304,25.423728813559322,7.866666666666666
ARG,Other Renewables,0.0,0.0,0.0,0.0,5.166666666666667
ARG,Solar,0.0,0.0,0.0,0.0,0.5
ARG,Storage (not electromobility),0.0,0.0,0.0,0.0,1.2
ARG,Wind,0.0,0.0,0.0,0.0,0.5
ARM,Grid,0.0,0.0,0.0,0.0,1.0
AUS,Energy Efficiency,2.1618282890673255,5.404570722668313,7.566399011735639,9.264978381717109,107.93333333333334
AUS,Fossil Fuels,15.703069236259815,19.55745895788722,24.553890078515348,36.61670235546038,116.75
AUS,Grid,2.631578947368421,2.631578947368421,3.508771929824561,12.061403508771928,38.0
AUS,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,22.0
AUS,Hydrogen and Fuel Cells,0.0,0.0,0.0,25.0,1.3333333333333333
AUS,Nuclear,0.0,0.0,0.0,0.0,2.0
AUS,Other Energy,11.269873213926344,14.288589253370901,18.91728718051922,25.994499228550342,248.45
AUS,Other Renewables,5.331040412725709,7.394668959587274,14.617368873602752,17.7128116938951,96.91666666666667
AUS,Solar,4.0241448692152915,4.0241448692152915,7.760850819200919,9.629203794193733,57.983333333333334
AUS,Storage (not electromobility),20.75812274368231,23.465703971119133,33.39350180505415,35.1985559566787,18.466666666666665
AUS,Wind,0.0,0.0,0.0,15.789473684210527,3.1666666666666665
AUT,Energy Efficiency,0.0,0.0,0.0,0.0,26.25
AUT,Fossil Fuels,6.122448979591837,6.122448979591837,6.122448979591837,24.48979591836735,8.166666666666666
AUT,Grid,0.0,0.0,20.338983050847457,20.338983050847457,4.916666666666667
AUT,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,3.0
AUT,Other Energy,2.0618556701030926,2.0618556701030926,2.0618556701030926,4.123711340206185,24.25
AUT,Other Renewables,0.0,0.0,0.0,7.741935483870968,12.916666666666666
AUT,Solar,0.0,0.0,0.0,9.090909090909092,11.0
AUT,Storage (not electromobility),0.0,0.0,0.0,0.0,1.4999999999999998
AUT,Wind,0.0,0.0,0.0,0.0,1.0
AZE,Energy Efficiency,0.0,0.0,0.0,0.0,1.5833333333333333
AZE,Fossil Fuels,0.0,0.0,40.0,40.0,2.5
AZE,Other Energy,0.0,0.0,0.0,0.0,2.083333333333333
AZE,Other Renewables,0.0,0.0,0.0,0.0,0.5
AZE,Storage (not electromobility),0.0,0.0,0.0,0.0,0.3333333333333333
BAH,Other Renewables,0.0,0.0,0.0,0.0,1.0
BEL,Bioenergy,0.0,0.0,0.0,0.0,2.0
BEL,Energy Efficiency,0.0,0.0,4.701544134593225,4.701544134593225,72.31666666666666
BEL,Fossil Fuels,0.0,0.0,0.0,12.631578947368421,15.833333333333334
BEL,Grid,0.0,0.0,0.0,4.597701149425287,29.0
BEL,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,12.0
BEL,Nuclear,0.0,33.33333333333333,33.33333333333333,33.33333333333333,3.0
BEL,Other Energy,0.0,0.0,4.205607476635514,4.7248182762201445,64.2
BEL,Other Renewables,0.0,0.0,1.9062748212867358,3.494837172359015,20.983333333333334
BEL,Solar,0.0,0.0,3.625377643504532,3.625377643504532,27.583333333333332
BEL,Storage (not electromobility),0.0,0.0,0.0,0.0,2.083333333333333
BEL,Wind,0.0,0.0,10.0,10.0,5.0
BEN,Fossil Fuels,0.0,0.0,0.0,0.0,0.5
BEN,Other Energy,0.0,0.0,0.0,0.0,0.5
BFA,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
BGD,Energy Efficiency,0.0,0.0,0.0,0.0,1.3333333333333333
BGD,Fossil Fuels,0.0,0.0,0.0,0.0,6.0
BGD,Grid,0.0,0.0,0.0,0.0,6.166666666666666
BGD,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
BGD,Other Energy,0.0,0.0,0.0,0.0,7.166666666666667
BGD,Other Renewables,0.0,0.0,0.0,0.0,3.8333333333333335
BGD,Solar,0.0,0.0,0.0,0.0,1.5
BGR,Energy Efficiency,0.0,0.0,0.0,0.0,3.5
BGR,Fossil Fuels,20.689655172413797,20.689655172413797,20.689655172413797,20.689655172413797,2.4166666666666665
BGR,Grid,0.0,0.0,0.0,0.0,3.0
BGR,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,2.0
BGR,Other Energy,16.216216216216214,16.216216216216214,16.216216216216214,16.216216216216214,3.0833333333333335
BGR,Other Renewables,0.0,0.0,0.0,0.0,5.0
BIH,Energy Efficiency,0.0,0.0,0.0,0.0,1.0
BIH,Fossil Fuels,0.0,0.0,0.0,0.0,0.5
BIH,Grid,0.0,0.0,0.0,0.0,3.833333333333333
BIH,Other Energy,0.0,0.0,0.0,0.0,2.1666666666666665
BIH,Other Renewables,0.0,0.0,0.0,0.0,0.5
BIH,Wind,0.0,0.0,0.0,0.0,1.0
BLR,Energy Efficiency,0.0,0.0,0.0,0.0,2.0
BLR,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
BLZ,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
BMU,Energy Efficiency,0.0,0.0,0.0,0.0,0.3333333333333333
BMU,Fossil Fuels,18.181818181818183,18.181818181818183,54.54545454545454,72.72727272727273,5.5
BMU,Other Energy,26.08695652173913,26.08695652173913,26.08695652173913,26.08695652173913,3.833333333333333
BMU,Other Renewables,0.0,0.0,0.0,0.0,0.3333333333333333
BOL,Fossil Fuels,0.0,0.0,0.0,0.0,1.5
BOL,Other Energy,0.0,0.0,0.0,0.0,1.5
BRA,Bioenergy,0.0,0.0,0.0,0.0,1.5
BRA,Energy Efficiency,1.9782393669634024,1.9782393669634024,2.4727992087042527,2.4727992087042527,67.4
BRA,Fossil Fuels,3.961267605633803,3.961267605633803,7.262323943661972,13.86443661971831,37.86666666666667
BRA,Grid,0.0,0.0,7.755102040816325,12.653061224489795,20.416666666666668
BRA,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,12.0
BRA,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.5
BRA,Nuclear,0.0,0.0,0.0,0.0,1.0
BRA,Other Energy,3.4740316136876843,4.342539517109605,10.335244050720862,15.025186729199236,95.95
BRA,Other Renewables,2.638522427440633,4.74934036939314,6.5963060686015815,6.5963060686015815,31.583333333333332
BRA,Solar,0.0,1.6286644951140066,3.257328990228013,6.514657980456026,30.7
BRA,Storage (not electromobility),0.0,0.0,0.0,0.0,0.5
BRA,Wind,0.0,0.0,0.0,0.0,0.5833333333333333
BRB,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
BRB,Other Energy,50.0,50.0,50.0,50.0,1.0
BRB,Other Renewables,25.0,25.0,25.0,25.0,2.0
BWA,Grid,0.0,0.0,0.0,0.0,1.0
BWA,Other Energy,0.0,0.0,0.0,0.0,0.5
BWA,Other Renewables,0.0,0.0,0.0,0.0,0.5
CAN,Bioenergy,6.593406593406594,6.593406593406594,6.593406593406594,13.186813186813188,7.583333333333333
CAN,Energy Efficiency,0.9953187207420047,1.7609485059281622,4.2875267970424815,4.746904668154176,326.5285714285714
CAN,Fossil Fuels,8.59217313298946,11.619757793227182,19.483067952455706,26.785714285714285,594.5333333333333
CAN,Grid,1.1565208248847234,1.7873503657309362,2.4181799065771488,6.623710178885234,158.52142857142857
CAN,Hybrid and Electric mobility,2.7777777777777777,2.7777777777777777,5.555555555555555,6.944444444444445,72.0
CAN,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,1.5833333333333333
CAN,Nuclear,0.0,0.0,0.0,0.0,3.0
CAN,Other Energy,8.427548595940106,10.593037904035974,17.011369616175788,24.188738817751272,746.5595238095239
CAN,Other Renewables,5.061824455758724,6.245876960029769,9.02840034506673,13.468597236083152,281.5190476190476
CAN,Solar,8.570968261640084,9.924279039793781,15.675849846946996,20.863541163202836,73.89285714285714
CAN,Storage (not electromobility),6.19030774672798,8.666430845419173,8.666430845419173,12.38061549345596,40.385714285714286
CAN,Wind,3.748326639892905,3.748326639892905,3.748326639892905,9.370816599732262,8.892857142857142
CHE,Bioenergy,0.0,0.0,0.0,0.0,2.8333333333333335
CHE,Energy Efficiency,0.29120559114735,0.29120559114735,0.5824111822947,0.5824111822947,114.46666666666667
CHE,Fossil Fuels,2.2944550669216057,2.2944550669216057,3.4416826003824093,5.736137667304015,43.583333333333336
CHE,Grid,1.9300361881785282,2.4125452352231602,4.342581423401689,4.342581423401689,69.08333333333333
CHE,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,29.0
CHE,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.75
CHE,Nuclear,0.0,0.0,0.0,0.0,1.0
CHE,Other Energy,1.7085128509879661,1.8570791858564848,3.045609864804635,5.051255385529639,224.36666666666667
CHE,Other Renewables,0.0,0.45558086560364464,1.594533029612756,1.594533029612756,73.16666666666667
CHE,Solar,0.49627791563275436,0.49627791563275436,1.488833746898263,1.9851116625310175,100.75
CHE,Storage (not electromobility),0.0,0.0,2.222222222222222,2.222222222222222,15.0
CHE,Wind,0.0,0.0,0.0,0.0,2.0
CHL,Energy Efficiency,0.0,0.0,2.0366598778004072,2.0366598778004072,16.366666666666667
CHL,Fossil Fuels,0.0,0.0,10.0,10.0,3.3333333333333335
CHL,Grid,0.0,0.0,7.894736842105264,23.68421052631579,6.333333333333333
CHL,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
CHL,Other Energy,3.374578177727784,3.374578177727784,8.998875140607424,8.998875140607424,14.816666666666666
CHL,Other Renewables,8.849557522123893,8.849557522123893,8.849557522123893,8.849557522123893,5.65
CHL,Solar,0.0,0.0,0.0,0.0,4.833333333333333
CHL,Wind,0.0,0.0,0.0,0.0,0.6666666666666666
CHN,Bioenergy,0.0,0.0,0.0,28.57142857142857,1.75
CHN,Energy Efficiency,0.5724350506384852,4.007045354469396,10.854249229414355,21.334214002642007,378.5
CHN,Fossil Fuels,16.106531388712746,18.008877615726064,32.466708941027264,52.377932783766646,131.41666666666666
CHN,Grid,6.0379918588873815,13.636363636363638,35.07462686567165,58.27679782903663,122.83333333333333
CHN,Hybrid and Electric mobility,2.8089887640449436,6.741573033707865,15.730337078651685,29.213483146067414,178.0
CHN,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,1.5
CHN,Nuclear,0.0,0.0,33.73493975903614,48.192771084337345,6.916666666666667
CHN,Other Energy,11.066296949836149,16.71288127048147,30.047895134862618,43.761028485001255,330.5833333333333
CHN,Other Renewables,5.508982035928144,7.664670658682635,22.275449101796408,33.053892215568865,69.58333333333333
CHN,Solar,6.824146981627297,13.123359580052494,22.747156605424323,31.14610673665792,95.25
CHN,Storage (not electromobility),0.546448087431694,8.743169398907105,21.584699453551913,42.62295081967213,61.0
CHN,Wind,14.634146341463417,14.634146341463417,45.12195121951219,78.04878048780488,13.666666666666666
CIV,Energy Efficiency,0.0,0.0,0.0,100.0,0.3333333333333333
CIV,Fossil Fuels,0.0,0.0,0.0,33.33333333333333,2.0
CIV,Grid,0.0,0.0,0.0,0.0,0.8333333333333333
CIV,Other Energy,0.0,0.0,0.0,22.22222222222222,1.5
CIV,Other Renewables,0.0,0.0,0.0,33.33333333333333,2.0
CIV,Storage (not electromobility),0.0,0.0,0.0,0.0,0.3333333333333333
CMR,Energy Efficiency,0.0,0.0,0.0,100.0,0.6666666666666666
CMR,Other Energy,0.0,0.0,0.0,40.0,0.8333333333333333
CMR,Other Renewables,0.0,0.0,0.0,0.0,0.5
COD,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
COD,Other Energy,0.0,0.0,0.0,0.0,0.5
COD,Solar,0.0,0.0,0.0,0.0,0.5
COL,Bioenergy,0.0,0.0,0.0,0.0,1.0
COL,Energy Efficiency,0.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,12.083333333333334
COL,Fossil Fuels,0.0,9.278350515463917,9.278350515463917,46.391752577319586,8.083333333333334
COL,Grid,0.0,0.0,14.285714285714285,42.857142857142854,3.5
COL,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,2.0
COL,Other Energy,10.344827586206899,18.103448275862068,23.27586206896552,33.62068965517241,9.666666666666666
COL,Other Renewables,0.0,7.3170731707317085,7.3170731707317085,7.3170731707317085,3.4166666666666665
COL,Solar,0.0,0.0,0.0,0.0,4.25
CRI,Energy Efficiency,0.0,0.0,0.0,0.0,0.3333333333333333
CRI,Fossil Fuels,0.0,0.0,0.0,0.0,1.5
CRI,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
CRI,Other Energy,0.0,0.0,17.647058823529413,17.647058823529413,2.833333333333333
CRI,Other Renewables,0.0,0.0,0.0,0.0,0.5
CRI,Solar,0.0,0.0,0.0,0.0,0.3333333333333333
CRI,Wind,0.0,0.0,100.0,100.0,0.5
CUB,Fossil Fuels,0.0,0.0,0.0,0.0,1.0
CYM,Fossil Fuels,0.0,16.666666666666664,33.33333333333333,33.33333333333333,3.0
CYM,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
CYM,Other Energy,40.0,60.0,80.0,80.0,2.5
CYM,Other Renewables,0.0,0.0,0.0,0.0,0.5
CYP,Energy Efficiency,0.0,28.57142857142857,28.57142857142857,28.57142857142857,3.5
CYP,Fossil Fuels,0.0,13.953488372093023,48.837209302325576,69.76744186046511,7.166666666666667
CYP,Grid,0.0,0.0,0.0,0.0,0.5
CYP,Other Energy,0.0,0.0,6.818181818181819,27.272727272727277,7.333333333333333
CYP,Other Renewables,0.0,25.0,25.0,25.0,4.0
CYP,Solar,0.0,0.0,0.0,0.0,1.5
CZE,Bioenergy,0.0,0.0,0.0,0.0,1.8333333333333333
CZE,Energy Efficiency,0.0,0.0,0.0,0.0,58.166666666666664
CZE,Fossil Fuels,0.0,0.0,0.0,4.819277108433735,20.75
CZE,Grid,0.0,0.0,0.0,0.0,30.0
CZE,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,3.0
