year,country_ISO3,number_of_companies,sector
1980.0,ARE,1,energy_and_non_green
1980.0,AUS,6,energy_and_non_green
1980.0,AUS,1,energy_and_green
1980.0,BEL,2,energy_and_non_green
1980.0,BEL,1,energy_and_green
1980.0,BGR,1,energy_and_non_green
1980.0,BRA,5,energy_and_non_green
1980.0,CAN,17,energy_and_non_green
1980.0,CAN,6,energy_and_green
1980.0,CHE,6,energy_and_non_green
1980.0,CHE,4,energy_and_green
1980.0,CHN,1,energy_and_non_green
1980.0,CHN,3,energy_and_green
1980.0,CYM,1,energy_and_green
1980.0,DEU,13,energy_and_non_green
1980.0,DEU,2,energy_and_green
1980.0,DNK,2,energy_and_non_green
1980.0,DNK,1,energy_and_green
1980.0,ESP,4,energy_and_non_green
1980.0,ESP,2,energy_and_green
1980.0,FRA,2,energy_and_non_green
1980.0,FRA,3,energy_and_green
1980.0,GBR,8,energy_and_non_green
1980.0,GBR,2,energy_and_green
1980.0,GRC,2,energy_and_non_green
1980.0,GRC,1,energy_and_green
1980.0,IDN,2,energy_and_non_green
1980.0,IND,8,energy_and_non_green
1980.0,ISR,1,energy_and_green
1980.0,ITA,4,energy_and_non_green
1980.0,ITA,1,energy_and_green
1980.0,JPN,5,energy_and_non_green
1980.0,JPN,1,energy_and_green
1980.0,KOR,1,energy_and_non_green
1980.0,KOR,1,energy_and_green
1980.0,KWT,1,energy_and_green
1980.0,LTU,1,energy_and_non_green
1980.0,MRT,1,energy_and_non_green
1980.0,MYS,1,energy_and_non_green
1980.0,NOR,1,energy_and_green
1980.0,NZL,2,energy_and_non_green
1980.0,PHL,2,energy_and_non_green
1980.0,PRT,1,energy_and_non_green
1980.0,PRT,1,energy_and_green
1980.0,RUS,1,energy_and_non_green
1980.0,SAU,1,energy_and_non_green
1980.0,SGP,1,energy_and_non_green
1980.0,SWE,1,energy_and_non_green
1980.0,SWE,6,energy_and_green
1980.0,THA,1,energy_and_non_green
1980.0,TUR,1,energy_and_non_green
1980.0,TUR,1,energy_and_green
1980.0,USA,97,energy_and_non_green
1980.0,USA,31,energy_and_green
1980.0,VNM,2,energy_and_non_green
1980.0,ZAF,1,energy_and_non_green
1980.0,ZAF,1,energy_and_green
1981.0,ARE,4,energy_and_non_green
1981.0,ARG,1,energy_and_green
1981.0,AUS,5,energy_and_non_green
1981.0,BIH,1,energy_and_non_green
1981.0,BRA,1,energy_and_green
1981.0,CAN,16,energy_and_non_green
1981.0,CAN,4,energy_and_green
1981.0,CHE,6,energy_and_non_green
1981.0,CHE,2,energy_and_green
1981.0,CHL,2,energy_and_non_green
1981.0,CHN,1,energy_and_non_green
1981.0,DEU,6,energy_and_non_green
1981.0,DEU,2,energy_and_green
1981.0,DNK,1,energy_and_non_green
1981.0,DNK,1,energy_and_green
1981.0,EGY,1,energy_and_non_green
1981.0,ESP,6,energy_and_non_green
1981.0,ESP,2,energy_and_green
1981.0,FRA,5,energy_and_non_green
1981.0,FRA,1,energy_and_green
1981.0,GBR,9,energy_and_non_green
1981.0,GBR,1,energy_and_green
1981.0,GRC,1,energy_and_non_green
1981.0,HKG,2,energy_and_non_green
1981.0,IDN,2,energy_and_non_green
1981.0,IND,4,energy_and_non_green
1981.0,IND,1,energy_and_green
1981.0,IRL,2,energy_and_non_green
1981.0,ITA,2,energy_and_non_green
1981.0,JPN,1,energy_and_non_green
1981.0,JPN,1,energy_and_green
1981.0,KOR,1,energy_and_non_green
1981.0,MYS,1,energy_and_green
1981.0,NLD,2,energy_and_non_green
1981.0,NLD,2,energy_and_green
1981.0,NOR,4,energy_and_non_green
1981.0,NZL,1,energy_and_non_green
1981.0,PRT,1,energy_and_green
1981.0,SGP,1,energy_and_non_green
1981.0,SWE,3,energy_and_non_green
1981.0,THA,2,energy_and_non_green
1981.0,TWN,2,energy_and_non_green
1981.0,USA,74,energy_and_non_green
1981.0,USA,25,energy_and_green
1981.0,ZAF,2,energy_and_non_green
1982.0,ARE,1,energy_and_non_green
1982.0,AUS,3,energy_and_non_green
1982.0,AUS,1,energy_and_green
1982.0,BEL,2,energy_and_non_green
1982.0,BIH,1,energy_and_non_green
1982.0,CAN,16,energy_and_non_green
1982.0,CAN,3,energy_and_green
1982.0,CHE,6,energy_and_non_green
1982.0,CHE,1,energy_and_green
1982.0,CHN,3,energy_and_non_green
1982.0,CHN,1,energy_and_green
1982.0,DEU,8,energy_and_non_green
1982.0,DEU,5,energy_and_green
1982.0,DNK,3,energy_and_non_green
1982.0,ESP,5,energy_and_non_green
1982.0,ESP,1,energy_and_green
1982.0,FRA,4,energy_and_non_green
1982.0,FRA,2,energy_and_green
1982.0,GBR,6,energy_and_non_green
1982.0,GBR,9,energy_and_green
1982.0,GRC,5,energy_and_non_green
1982.0,HKG,2,energy_and_non_green
1982.0,IND,6,energy_and_non_green
1982.0,IND,2,energy_and_green
1982.0,IRL,2,energy_and_non_green
1982.0,ITA,6,energy_and_non_green
1982.0,ITA,2,energy_and_green
1982.0,JPN,5,energy_and_non_green
1982.0,KOR,4,energy_and_non_green
1982.0,MYS,1,energy_and_non_green
1982.0,NGA,1,energy_and_non_green
1982.0,NLD,2,energy_and_non_green
1982.0,NOR,2,energy_and_non_green
1982.0,NZL,1,energy_and_non_green
1982.0,POL,1,energy_and_green
1982.0,PRT,2,energy_and_non_green
1982.0,PRT,1,energy_and_green
1982.0,SGP,1,energy_and_non_green
1982.0,SWE,3,energy_and_non_green
1982.0,SWE,3,energy_and_green
1982.0,THA,1,energy_and_green
1982.0,TUR,2,energy_and_non_green
1982.0,TWN,2,energy_and_non_green
1982.0,UKR,1,energy_and_non_green
1982.0,USA,86,energy_and_non_green
1982.0,USA,37,energy_and_green
1983.0,AUS,2,energy_and_non_green
1983.0,AUS,1,energy_and_green
1983.0,BEL,3,energy_and_non_green
1983.0,BEL,1,energy_and_green
1983.0,CAN,21,energy_and_non_green
1983.0,CAN,3,energy_and_green
1983.0,CHE,6,energy_and_non_green
1983.0,CHE,2,energy_and_green
1983.0,CHN,2,energy_and_non_green
1983.0,CIV,1,energy_and_non_green
1983.0,DEU,3,energy_and_non_green
1983.0,DEU,1,energy_and_green
1983.0,DNK,1,energy_and_non_green
1983.0,EGY,1,energy_and_non_green
1983.0,ESP,3,energy_and_non_green
1983.0,ESP,1,energy_and_green
1983.0,FRA,1,energy_and_non_green
1983.0,FRA,2,energy_and_green
1983.0,GBR,19,energy_and_non_green
1983.0,GBR,9,energy_and_green
1983.0,GRC,1,energy_and_non_green
1983.0,HKG,1,energy_and_non_green
1983.0,IDN,2,energy_and_non_green
1983.0,IND,8,energy_and_non_green
1983.0,IND,2,energy_and_green
1983.0,ISR,1,energy_and_non_green
1983.0,ITA,4,energy_and_non_green
1983.0,ITA,2,energy_and_green
1983.0,JPN,2,energy_and_non_green
1983.0,JPN,2,energy_and_green
1983.0,KEN,1,energy_and_non_green
1983.0,KOR,1,energy_and_non_green
1983.0,KOR,3,energy_and_green
1983.0,KWT,1,energy_and_non_green
1983.0,MLT,1,energy_and_non_green
1983.0,NGA,1,energy_and_non_green
1983.0,NLD,2,energy_and_non_green
1983.0,NOR,1,energy_and_green
1983.0,NZL,2,energy_and_non_green
1983.0,OMN,1,energy_and_non_green
1983.0,PAK,1,energy_and_non_green
1983.0,PAK,1,energy_and_green
1983.0,PER,1,energy_and_non_green
1983.0,PER,1,energy_and_green
1983.0,PRT,2,energy_and_non_green
1983.0,ROM,1,energy_and_non_green
1983.0,SAU,1,energy_and_non_green
1983.0,SGP,2,energy_and_non_green
1983.0,SGP,2,energy_and_green
1983.0,SVK,1,energy_and_green
1983.0,SWE,6,energy_and_non_green
1983.0,THA,3,energy_and_non_green
1983.0,TTO,1,energy_and_green
1983.0,TUR,1,energy_and_non_green
1983.0,TWN,3,energy_and_non_green
1983.0,USA,99,energy_and_non_green
1983.0,USA,21,energy_and_green
1984.0,ARE,4,energy_and_non_green
1984.0,ARG,1,energy_and_non_green
1984.0,AUS,8,energy_and_non_green
1984.0,AUS,1,energy_and_green
1984.0,AUT,1,energy_and_green
1984.0,BEL,2,energy_and_non_green
1984.0,BGD,1,energy_and_non_green
1984.0,BRA,1,energy_and_non_green
1984.0,BRA,1,energy_and_green
1984.0,CAN,10,energy_and_non_green
1984.0,CAN,6,energy_and_green
1984.0,CHE,6,energy_and_non_green
1984.0,CHE,1,energy_and_green
1984.0,CHN,6,energy_and_non_green
1984.0,CHN,1,energy_and_green
1984.0,COL,1,energy_and_non_green
1984.0,DEU,16,energy_and_non_green
1984.0,DEU,9,energy_and_green
1984.0,ESP,5,energy_and_non_green
1984.0,ESP,5,energy_and_green
1984.0,FRA,2,energy_and_non_green
1984.0,FRA,1,energy_and_green
1984.0,GBR,12,energy_and_non_green
1984.0,GBR,3,energy_and_green
1984.0,GRC,3,energy_and_non_green
1984.0,GRC,2,energy_and_green
1984.0,HKG,2,energy_and_non_green
1984.0,IDN,2,energy_and_non_green
1984.0,IND,5,energy_and_non_green
1984.0,IND,1,energy_and_green
1984.0,IRL,1,energy_and_non_green
1984.0,ISR,1,energy_and_non_green
1984.0,ITA,1,energy_and_non_green
1984.0,ITA,2,energy_and_green
1984.0,JPN,6,energy_and_non_green
1984.0,JPN,2,energy_and_green
1984.0,KOR,3,energy_and_non_green
1984.0,KOR,1,energy_and_green
1984.0,LUX,1,energy_and_non_green
1984.0,MYS,4,energy_and_non_green
1984.0,MYS,1,energy_and_green
1984.0,NLD,3,energy_and_non_green
1984.0,NLD,1,energy_and_green
1984.0,NOR,1,energy_and_non_green
1984.0,NOR,1,energy_and_green
1984.0,PER,1,energy_and_green
1984.0,PRT,3,energy_and_non_green
1984.0,PRT,2,energy_and_green
1984.0,QAT,1,energy_and_non_green
1984.0,SWE,4,energy_and_non_green
1984.0,SWE,3,energy_and_green
1984.0,THA,1,energy_and_non_green
1984.0,THA,2,energy_and_green
1984.0,TUR,1,energy_and_non_green
1984.0,TWN,1,energy_and_non_green
1984.0,UKR,1,energy_and_non_green
1984.0,USA,107,energy_and_non_green
