year,country_ISO3,technology_field,number_of_companies
1980.0,ARE,Fossil Fuels,0.5
1980.0,ARE,Other Energy,0.5
1980.0,AUS,Fossil Fuels,1.5
1980.0,AUS,Other Energy,4.5
1980.0,AUS,Other Renewables,1.0
1980.0,BEL,Energy Efficiency,1.0
1980.0,BEL,Other Energy,1.5
1980.0,BEL,Solar,0.5
1980.0,BGR,Fossil Fuels,0.6666666666666666
1980.0,BGR,Other Energy,0.3333333333333333
1980.0,BRA,Energy Efficiency,0.3333333333333333
1980.0,BRA,Fossil Fuels,0.8333333333333333
1980.0,BRA,Grid,0.5
1980.0,BRA,Other Energy,3.333333333333333
1980.0,CAN,Bioenergy,0.5
1980.0,CAN,Energy Efficiency,2.0
1980.0,CAN,Fossil Fuels,5.5
1980.0,CAN,Grid,4.0
1980.0,CAN,Other Energy,6.0
1980.0,CAN,Other Renewables,3.6666666666666665
1980.0,CAN,Solar,1.0
1980.0,CAN,Storage (not electromobility),0.3333333333333333
1980.0,CHE,Bioenergy,1.0
1980.0,CHE,Fossil Fuels,2.0
1980.0,CHE,Grid,2.5
1980.0,CHE,Other Energy,2.5
1980.0,CHE,Other Renewables,1.0
1980.0,CHE,Solar,1.0
1980.0,CHN,Other Energy,3.0
1980.0,CHN,Other Renewables,1.0
1980.0,CYM,Fossil Fuels,0.5
1980.0,CYM,Other Renewables,0.5
1980.0,DEU,Energy Efficiency,5.0
1980.0,DEU,Fossil Fuels,1.5
1980.0,DEU,Grid,3.0
1980.0,DEU,Hybrid and Electric mobility,1.0
1980.0,DEU,Other Energy,3.5
1980.0,DEU,Other Renewables,1.0
1980.0,DNK,Energy Efficiency,1.0
1980.0,DNK,Grid,1.0
1980.0,DNK,Other Renewables,1.0
1980.0,ESP,Fossil Fuels,1.0
1980.0,ESP,Grid,1.0
1980.0,ESP,Hybrid and Electric mobility,1.0
1980.0,ESP,Other Energy,2.0
1980.0,ESP,Solar,1.0
1980.0,FRA,Energy Efficiency,1.0
1980.0,FRA,Other Energy,1.0
1980.0,FRA,Other Renewables,1.0
1980.0,FRA,Solar,2.0
1980.0,GBR,Energy Efficiency,1.0
1980.0,GBR,Fossil Fuels,4.0
1980.0,GBR,Grid,2.0
1980.0,GBR,Other Energy,1.0
1980.0,GBR,Other Renewables,2.0
1980.0,GRC,Other Energy,0.5
1980.0,GRC,Solar,2.5
1980.0,IDN,Fossil Fuels,2.0
1980.0,IND,Fossil Fuels,2.5
1980.0,IND,Grid,1.5
1980.0,IND,Other Energy,3.5
1980.0,IND,Solar,0.5
1980.0,ISR,Energy Efficiency,0.5
1980.0,ISR,Other Energy,0.5
1980.0,ITA,Energy Efficiency,1.0
