year,country_ISO3,number_of_deals,raised_amount_usd,sector
2000,FRA,1,8713636.363636363,energy_and_non_green
2000,USA,12,518219318.1818181,energy_and_non_green
2000,USA,2,37113636.36363636,energy_and_green
2001,CAN,1,3288970.5882352935,energy_and_non_green
2001,CHN,4,44073017.161764696,energy_and_non_green
2001,USA,13,273454411.76470584,energy_and_non_green
2001,USA,3,62647058.8235294,energy_and_green
2002,CAN,1,8195869.565217391,energy_and_non_green
2002,FRA,1,471449.2608695652,energy_and_non_green
2002,IRL,1,8245091.0869565215,energy_and_non_green
2002,USA,18,159905258.47826087,energy_and_non_green
2002,USA,9,45870630.43478261,energy_and_green
2003,CAN,1,861063.8297872341,energy_and_green
2003,FRA,1,10574468.085106382,energy_and_non_green
2003,GBR,2,34750484.72340426,energy_and_non_green
2003,GHA,1,1510.6382978723404,energy_and_non_green
2003,USA,24,391036725.2553191,energy_and_non_green
2003,USA,9,53614063.82978723,energy_and_green
2004,CAN,1,1468965.5172413792,energy_and_non_green
2004,CAN,1,367241.3793103448,energy_and_green
2004,CHN,1,532451.524137931,energy_and_non_green
2004,DEU,1,10681625.358620688,energy_and_non_green
2004,FRA,2,4656157.9655172415,energy_and_non_green
2004,GBR,2,30034291.220689654,energy_and_non_green
2004,IRL,1,3691464.8068965515,energy_and_non_green
2004,USA,31,361684282.7586207,energy_and_non_green
2004,USA,20,240299255.17241377,energy_and_green
2005,CAN,1,1886979.8657718122,energy_and_non_green
2005,CAN,3,13271781.261744967,energy_and_green
2005,CHN,1,518231.85906040267,energy_and_non_green
2005,CHN,1,13823238.261744967,energy_and_green
2005,DEU,2,34481374.912751675,energy_and_non_green
2005,DNK,1,15524697.986577181,energy_and_non_green
2005,FRA,2,4408876.993288591,energy_and_non_green
2005,GBR,2,13933323.523489933,energy_and_non_green
2005,GBR,1,1586778.523489933,energy_and_green
2005,UKR,1,71476.5100671141,energy_and_green
2005,USA,29,427986538.0671141,energy_and_non_green
2005,USA,22,323675657.7181208,energy_and_green
2006,CAN,3,9232305.194805194,energy_and_non_green
2006,CAN,2,3734415.5844155843,energy_and_green
2006,CHN,2,51175324.67532468,energy_and_green
2006,DEU,1,3156387.525974026,energy_and_green
2006,ESP,1,4283644.383116883,energy_and_non_green
2006,FRA,2,17842207.792207792,energy_and_non_green
2006,GBR,8,33011626.57792208,energy_and_non_green
2006,GBR,2,5902199.571428571,energy_and_green
2006,IND,1,27662337.66233766,energy_and_green
2006,IRL,1,2780064.935064935,energy_and_green
2006,ISR,1,6915584.415584415,energy_and_non_green
2006,ISR,1,4149350.649350649,energy_and_green
2006,ROM,1,691558.4415584416,energy_and_non_green
2006,SWE,1,781461.0389610389,energy_and_green
2006,USA,40,494257858.28571427,energy_and_non_green
2006,USA,51,1185433519.4805195,energy_and_green
2007,AUS,1,5915715.981132074,energy_and_non_green
2007,AUS,1,5358490.566037735,energy_and_green
2007,BEL,1,264349.0754716981,energy_and_non_green
2007,CAN,5,69348250.64150943,energy_and_non_green
2007,CAN,2,9093377.245283019,energy_and_green
2007,CHN,5,26354782.037735846,energy_and_non_green
2007,DEU,1,17324999.358490564,energy_and_non_green
2007,FRA,2,8462238.150943395,energy_and_non_green
2007,FRA,2,12253851.150943395,energy_and_green
2007,GBR,4,68003274.86792451,energy_and_non_green
2007,ISR,4,44341509.433962256,energy_and_non_green
2007,ISR,1,15842377.358490564,energy_and_green
2007,NOR,1,80377358.49056603,energy_and_green
2007,SGP,1,401886.7924528301,energy_and_non_green
2007,USA,70,983966326.8867923,energy_and_non_green
2007,USA,100,2644976578.415094,energy_and_green
2008,AUS,1,508944.78181818186,energy_and_non_green
2008,BEL,1,881817.4181818182,energy_and_non_green
2008,BLR,1,1290909.090909091,energy_and_non_green
2008,CAN,3,41862433.92727273,energy_and_non_green
2008,CAN,3,29432727.272727273,energy_and_green
2008,CHE,1,1237327.3272727274,energy_and_non_green
2008,CHN,8,90958962.32727273,energy_and_non_green
2008,CHN,6,414381818.1818182,energy_and_green
2008,DEU,2,24059846.163636364,energy_and_non_green
2008,DEU,8,153587575.65454546,energy_and_green
2008,DNK,1,20654545.454545457,energy_and_non_green
2008,FIN,1,9571207.927272728,energy_and_green
2008,FRA,3,16204781.818181818,energy_and_non_green
2008,FRA,4,57695406.81818182,energy_and_green
2008,GBR,6,70519646.27272728,energy_and_non_green
2008,GBR,7,64854990.01818182,energy_and_green
2008,IND,4,164694181.8181818,energy_and_green
2008,IRL,1,1890355.6363636365,energy_and_green
2008,ISR,3,20009090.90909091,energy_and_non_green
2008,ISR,2,19363636.363636367,energy_and_green
2008,KEN,1,7745454.545454546,energy_and_non_green
2008,NOR,3,49106181.81818182,energy_and_green
2008,SWE,1,2672181.8181818184,energy_and_non_green
2008,SWE,1,1574909.090909091,energy_and_green
2008,USA,90,1518159903.6727273,energy_and_non_green
2008,USA,156,4526439271.8,energy_and_green
2008,ZAF,1,60401002.52727273,energy_and_non_green
2009,AUS,1,12987804.87804878,energy_and_green
2009,AUT,1,3676322.8536585364,energy_and_green
2009,BEL,1,2272865.8536585364,energy_and_non_green
2009,BRA,1,1387420.9573170731,energy_and_non_green
2009,BRA,1,2681759.6158536584,energy_and_green
2009,CAN,3,26443262.94512195,energy_and_non_green
2009,CAN,5,48444512.19512195,energy_and_green
2009,CHN,3,12960922.719512194,energy_and_non_green
2009,CHN,2,32659626.38414634,energy_and_green
2009,DEU,2,40686169.02439025,energy_and_non_green
2009,DEU,1,35067073.17073171,energy_and_green
2009,DNK,1,10390243.902439024,energy_and_non_green
2009,ESP,3,4600353.219512194,energy_and_green
2009,FIN,1,8599030.792682927,energy_and_non_green
2009,FIN,1,8442871.920731707,energy_and_green
2009,FRA,1,3727500.0,energy_and_non_green
2009,FRA,1,489222.03658536583,energy_and_green
2009,GBR,8,57009201.932926826,energy_and_non_green
2009,GBR,3,8719139.414634146,energy_and_green
2009,IND,2,1623475.6097560977,energy_and_green
2009,IRL,2,9683707.31707317,energy_and_green
2009,ISR,3,57146341.46341463,energy_and_green
2009,NLD,2,1023532.5365853659,energy_and_green
2009,NOR,5,97551402.43902439,energy_and_green
2009,TUR,1,64939.0243902439,energy_and_non_green
2009,USA,86,1061169805.4268292,energy_and_non_green
2009,USA,123,5043171002.067073,energy_and_green
2010,ARE,1,19131736.52694611,energy_and_green
2010,BEL,2,14102175.17964072,energy_and_non_green
2010,BMU,1,3262598.8023952097,energy_and_green
2010,CAN,4,38189093.964071855,energy_and_non_green
2010,CAN,3,14545160.33532934,energy_and_green
2010,CHE,3,6696734.02994012,energy_and_non_green
2010,CHN,11,123661824.52095808,energy_and_non_green
2010,CHN,8,170781673.04191616,energy_and_green
2010,DEU,2,7329993.233532934,energy_and_non_green
2010,DEU,3,6416090.586826347,energy_and_green
2010,DNK,1,694323.8802395209,energy_and_non_green
2010,ESP,1,526481.1556886227,energy_and_non_green
2010,FIN,1,6081833.6407185625,energy_and_green
