year,country_ISO3,technology_field,raised_amount_usd,number_of_deals
2000,FRA,Energy Efficiency,8713636.363636363,1.0
2000,USA,Energy Efficiency,213000000.0,2.0
2000,USA,Fossil Fuels,141919318.1818182,3.8333333333333335
2000,USA,Grid,20977272.727272727,1.0
2000,USA,Other Energy,111663636.36363636,5.333333333333333
2000,USA,Other Renewables,14522727.272727272,0.8333333333333333
2000,USA,Storage (not electromobility),53249999.99999999,1.0
2001,CAN,Grid,3288970.5882352935,1.0
2001,CHN,Energy Efficiency,4277552.1397058815,2.0
2001,CHN,Other Energy,783088.2352941175,1.0
2001,CHN,Storage (not electromobility),39012376.786764696,1.0
2001,USA,Energy Efficiency,28112867.64705882,2.833333333333333
2001,USA,Fossil Fuels,123258088.2352941,2.5
2001,USA,Grid,102741176.47058822,3.0
2001,USA,Other Energy,38527941.176470585,3.333333333333333
2001,USA,Other Renewables,27799632.35294117,1.0
2001,USA,Solar,3915441.176470587,1.3333333333333333
2001,USA,Storage (not electromobility),11746323.529411763,2.0
2002,CAN,Fossil Fuels,4097934.7826086953,0.5
2002,CAN,Other Energy,4097934.7826086953,0.5
2002,FRA,Grid,471449.2608695652,1.0
2002,IRL,Fossil Fuels,8245091.0869565215,1.0
2002,USA,Energy Efficiency,36510592.391304344,4.0
2002,USA,Fossil Fuels,39735304.347826086,3.75
2002,USA,Grid,35500000.0,3.0
2002,USA,Hydrogen and Fuel Cells,3357065.217391304,1.25
2002,USA,Other Energy,32626053.76811594,6.083333333333333
2002,USA,Other Renewables,23964300.72463768,4.333333333333333
2002,USA,Solar,18892173.913043477,3.0
2002,USA,Storage (not electromobility),13376811.594202898,1.3333333333333333
2002,USA,Wind,1813586.956521739,0.25
2003,CAN,Fossil Fuels,287021.27659574465,0.3333333333333333
2003,CAN,Other Energy,287021.27659574465,0.3333333333333333
2003,CAN,Solar,287021.27659574465,0.3333333333333333
2003,FRA,Energy Efficiency,10574468.085106382,1.0
2003,GBR,Energy Efficiency,30215667.89361702,1.5
2003,GBR,Other Energy,4534816.829787234,0.5
2003,GHA,Other Energy,1510.6382978723404,1.0
2003,USA,Energy Efficiency,129451001.77304964,11.0
2003,USA,Fossil Fuels,91469148.93617022,2.75
2003,USA,Grid,115639361.70212767,5.5
2003,USA,Hybrid and Electric mobility,4682978.723404256,1.0
2003,USA,Hydrogen and Fuel Cells,4531914.893617021,0.25
2003,USA,Other Energy,49806445.11347517,6.666666666666667
2003,USA,Other Renewables,6695904.255319148,1.5
2003,USA,Solar,9315602.836879432,1.3333333333333333
2003,USA,Storage (not electromobility),28526515.957446806,2.75
2003,USA,Wind,4531914.893617021,0.25
2004,CAN,Other Energy,918103.448275862,1.0
2004,CAN,Other Renewables,183620.6896551724,0.5
2004,CAN,Solar,734482.7586206896,0.5
2004,CHN,Energy Efficiency,532451.524137931,1.0
2004,DEU,Energy Efficiency,5340812.679310344,0.5
2004,DEU,Other Energy,5340812.679310344,0.5
2004,FRA,Grid,4656157.9655172415,2.0
2004,GBR,Energy Efficiency,9733875.98275862,0.5
2004,GBR,Fossil Fuels,15017145.610344827,1.0
2004,GBR,Other Energy,5283269.627586206,0.5
2004,IRL,Fossil Fuels,3691464.8068965515,1.0
2004,USA,Bioenergy,2622103.4482758623,2.25
2004,USA,Energy Efficiency,137747589.6551724,15.333333333333334
2004,USA,Fossil Fuels,90919172.41379309,5.833333333333333
2004,USA,Grid,90243448.27586207,4.833333333333333
2004,USA,Hybrid and Electric mobility,11017241.379310343,1.0
2004,USA,Hydrogen and Fuel Cells,28767241.37931034,0.5833333333333333
2004,USA,Other Energy,101735655.17241378,10.916666666666666
2004,USA,Other Renewables,53470834.48275862,4.833333333333333
2004,USA,Solar,38440379.31034482,2.5833333333333335
2004,USA,Storage (not electromobility),30494010.344827585,2.583333333333333
2004,USA,Wind,16525862.068965515,0.25
2005,CAN,Fossil Fuels,3552382.5503355707,0.8333333333333333
2005,CAN,Other Energy,4410100.67114094,1.3333333333333333
2005,CAN,Other Renewables,857718.1208053691,0.5
2005,CAN,Solar,6338559.785234899,1.3333333333333333
2005,CHN,Energy Efficiency,518231.85906040267,1.0
2005,CHN,Solar,13823238.261744967,1.0
2005,DEU,Energy Efficiency,29811831.66442953,1.5
2005,DEU,Other Energy,4669543.248322148,0.5
2005,DNK,Energy Efficiency,7762348.993288591,0.5
2005,DNK,Other Energy,7762348.993288591,0.5
2005,FRA,Grid,1035185.7181208053,1.0
2005,FRA,Storage (not electromobility),3373691.275167785,1.0
2005,GBR,Bioenergy,1586778.523489933,1.0
2005,GBR,Fossil Fuels,6966661.761744967,1.0
2005,GBR,Other Energy,6966661.761744967,1.0
2005,UKR,Energy Efficiency,17869.127516778524,0.25
2005,UKR,Grid,17869.127516778524,0.25
2005,UKR,Other Energy,17869.127516778524,0.25
2005,UKR,Solar,17869.127516778524,0.25
2005,USA,Bioenergy,45844557.04697986,3.5833333333333335
2005,USA,Energy Efficiency,112303416.10738255,9.666666666666666
2005,USA,Fossil Fuels,68172296.10402685,4.75
2005,USA,Grid,76479865.77181208,3.0
2005,USA,Hybrid and Electric mobility,18583892.617449664,1.0
2005,USA,Other Energy,207381821.70134228,15.75
2005,USA,Other Renewables,76803416.10738254,5.75
2005,USA,Solar,78776644.29530202,3.5833333333333335
2005,USA,Storage (not electromobility),67316286.03355704,3.9166666666666665
2006,CAN,Fossil Fuels,6777272.727272727,2.5
2006,CAN,Hybrid and Electric mobility,414935.06493506493,1.0
2006,CAN,Other Energy,4114772.7272727275,1.0
2006,CAN,Other Renewables,1659740.2597402597,0.5
2006,CHN,Energy Efficiency,44951298.7012987,1.25
2006,CHN,Other Energy,2074675.3246753246,0.25
2006,CHN,Other Renewables,4149350.649350649,0.5
2006,DEU,Energy Efficiency,1578193.762987013,0.5
2006,DEU,Other Energy,1578193.762987013,0.5
2006,ESP,Energy Efficiency,4283644.383116883,1.0
2006,FRA,Grid,13831168.83116883,1.0
2006,FRA,Other Energy,4011038.961038961,1.0
2006,GBR,Bioenergy,5902199.571428571,2.0
2006,GBR,Fossil Fuels,15172792.207792208,2.0
2006,GBR,Other Energy,16010387.045454547,4.5
2006,GBR,Storage (not electromobility),1828447.3246753248,1.5
2006,IND,Hybrid and Electric mobility,27662337.66233766,1.0
2006,IRL,Fossil Fuels,2780064.935064935,1.0
2006,ISR,Fossil Fuels,2074675.3246753246,0.5
2006,ISR,Other Renewables,2074675.3246753246,0.5
2006,ISR,Storage (not electromobility),6915584.415584415,1.0
2006,ROM,Other Energy,691558.4415584416,1.0
2006,SWE,Other Energy,781461.0389610389,1.0
2006,USA,Bioenergy,85061688.3116883,6.333333333333333
2006,USA,Energy Efficiency,323926204.54545456,21.416666666666668
2006,USA,Fossil Fuels,118741045.45454545,5.25
2006,USA,Grid,46933766.233766235,3.033333333333333
2006,USA,Hybrid and Electric mobility,55324675.32467532,1.0
2006,USA,Hydrogen and Fuel Cells,58782467.53246753,1.25
2006,USA,Other Energy,335556523.6753247,22.78333333333333
2006,USA,Other Renewables,168011818.1818182,10.483333333333333
2006,USA,Solar,352770152.7922078,13.75
2006,USA,Storage (not electromobility),88479139.61038962,4.616666666666666
2006,USA,Wind,46103896.103896104,1.0833333333333333
2007,AUS,Fossil Fuels,2957857.990566037,0.5
2007,AUS,Other Energy,2679245.2830188675,0.5
2007,AUS,Storage (not electromobility),2957857.990566037,0.5
2007,AUS,Wind,2679245.2830188675,0.5
2007,BEL,Fossil Fuels,264349.0754716981,1.0
2007,CAN,Energy Efficiency,2980474.1698113205,1.0
2007,CAN,Fossil Fuels,40084234.672955975,1.8333333333333333
2007,CAN,Other Energy,20970534.99371069,2.333333333333333
2007,CAN,Other Renewables,684487.5566037735,0.5
